Sb03g031640,GRMZM2G028568,GRMZM2G144028
Sb01g047040,GRMZM2G150867,AC149818.2_FG006
Sb02g039340,GRMZM2G053999,GRMZM2G124963
Sb04g032050,GRMZM2G151009,GRMZM2G114911
Sb01g017770,GRMZM2G129007,GRMZM2G086116
Sb10g029835,GRMZM2G108741,GRMZM2G088930
Sb03g031610,GRMZM2G312712,GRMZM2G175661
Sb01g003070,GRMZM2G459811,GRMZM2G144020
Sb04g032690,GRMZM2G329532,GRMZM2G174537
Sb04g027740,GRMZM2G036286,GRMZM2G016948
Sb06g031070,GRMZM2G386525,GRMZM2G143389
Sb01g042670,GRMZM5G879116,GRMZM2G051689
Sb01g003270,GRMZM2G361210,GRMZM2G002815
Sb10g030030,GRMZM2G115621,GRMZM2G700981
Sb09g002840,GRMZM2G061135,GRMZM2G117198
Sb04g001280,GRMZM2G044348,GRMZM2G150251
Sb01g008020,GRMZM2G016671,GRMZM2G172132
Sb01g008790,GRMZM2G416426,GRMZM2G312738
Sb09g022840,GRMZM2G140609,GRMZM2G163561
Sb02g043020,GRMZM2G158304,GRMZM2G473709
Sb01g004260,GRMZM2G092663,AC210013.4_FG019
Sb02g005790,GRMZM2G179090,GRMZM2G149847
Sb03g002790,GRMZM2G045259,GRMZM2G158177
Sb02g033590,GRMZM2G032253,GRMZM5G865543
Sb02g026230,GRMZM2G141031,GRMZM2G110107
Sb03g030470,GRMZM5G867983,GRMZM2G007630
Sb01g038070,GRMZM2G104534,GRMZM2G007514
Sb04g033470,GRMZM2G109348,GRMZM2G129675
Sb03g012440,GRMZM2G111593,GRMZM2G038152
Sb02g041640,GRMZM2G152963,GRMZM2G035985
Sb01g007770,GRMZM2G021781,GRMZM2G071745
Sb02g032260,GRMZM2G033634,GRMZM5G819999
Sb01g018490,GRMZM2G153208,GRMZM2G039370
Sb09g023710,GRMZM2G145662,GRMZM2G138840
Sb03g030900,GRMZM2G062121,GRMZM2G369485
Sb02g030820,GRMZM2G386971,GRMZM2G379577
Sb02g020690,GRMZM2G064197,GRMZM2G090061
Sb06g024240,GRMZM2G425225,GRMZM2G026983
Sb01g042250,GRMZM2G469304,GRMZM2G067426
Sb04g033820,GRMZM2G323013,GRMZM2G035704
Sb03g040200,GRMZM2G116114,GRMZM2G061963
Sb05g001810,GRMZM2G174938,GRMZM2G175008
Sb03g025470,GRMZM2G022090,GRMZM2G081653
Sb03g029920,GRMZM2G408462,GRMZM2G411766
Sb01g007790,GRMZM2G032339,GRMZM2G553379
Sb06g017870,GRMZM2G028640,GRMZM2G096695
Sb02g001090,GRMZM2G072582,GRMZM2G148693
Sb01g034390,GRMZM2G107196,GRMZM2G030139
Sb03g011540,GRMZM2G046924,GRMZM2G140885
Sb09g020370,GRMZM2G133082,GRMZM2G145029
Sb04g037160,GRMZM2G143591,GRMZM2G157522
Sb02g043140,GRMZM2G349655,GRMZM2G031329
Sb04g022210,GRMZM2G088543,GRMZM2G014356
Sb02g033930,GRMZM2G075719,GRMZM2G169694
Sb03g006580,GRMZM2G088834,GRMZM2G126860
Sb09g020170,GRMZM2G024264,GRMZM2G133620
Sb01g031920,GRMZM5G883760,GRMZM2G105092
Sb08g004050,GRMZM2G167999,GRMZM5G894436
Sb04g036960,GRMZM5G811428,GRMZM2G102815
Sb01g018380,GRMZM2G057451,GRMZM2G020098
Sb03g037330,AC213654.3_FG003,GRMZM2G409635
Sb03g030870,GRMZM2G027856,GRMZM2G163159
Sb09g028410,GRMZM2G039886,GRMZM2G119316
Sb02g027430,GRMZM5G818643,GRMZM2G137541
Sb01g043030,GRMZM2G015804,GRMZM5G828987
Sb03g041460,GRMZM2G049373,GRMZM2G128248
Sb04g027340,GRMZM5G862331,GRMZM2G108919
Sb01g043810,GRMZM2G007347,GRMZM2G081729
Sb02g023500,AC194174.3_FG003,GRMZM2G039155
Sb03g040110,GRMZM5G832491,GRMZM2G440785
Sb04g031830,AC209374.4_FG002,GRMZM5G835542
Sb01g011440,GRMZM2G038217,AC213463.3_FG007
Sb04g035340,GRMZM2G008367,GRMZM2G314946
Sb04g034665,GRMZM2G134552,GRMZM2G165991
Sb01g006820,GRMZM2G028286,AC183932.3_FG007
Sb03g038490,GRMZM2G011541,GRMZM2G036631
Sb06g031850,GRMZM2G046968,GRMZM2G028492
Sb02g039860,GRMZM2G171597,AC194203.3_FG003
Sb06g024740,GRMZM2G462261,GRMZM2G091581
Sb03g007210,GRMZM2G032107,GRMZM2G095964
Sb01g010580,GRMZM2G041770,GRMZM2G162443
Sb06g030850,GRMZM2G032209,GRMZM2G004924
Sb06g020800,GRMZM2G389789,GRMZM2G135629
Sb09g027870,GRMZM2G181104,GRMZM2G013465
Sb06g027670,GRMZM2G392125,GRMZM2G142857
Sb06g029270,GRMZM2G001289,GRMZM2G122897
Sb06g024810,GRMZM2G162271,AC231226.2_FG001
Sb02g044040,AC187098.4_FG011,GRMZM2G140970
Sb03g041360,GRMZM2G160838,GRMZM2G405094
Sb01g010210,GRMZM2G126038,GRMZM2G145854
Sb01g044410,GRMZM2G003466,GRMZM2G113060
Sb06g016110,GRMZM2G048793,GRMZM2G047065
Sb01g011340,GRMZM2G079915,GRMZM2G301208
Sb01g043720,GRMZM2G055101,GRMZM5G850567
Sb04g005120,GRMZM2G027516,GRMZM2G421240
Sb04g032900,GRMZM2G056908,GRMZM2G027098
Sb06g032800,GRMZM2G044096,GRMZM2G040876
Sb01g006910,AC234157.1_FG002,GRMZM2G137829
Sb01g040530,GRMZM2G372398,GRMZM2G146386
Sb06g026090,GRMZM2G114276,GRMZM2G016477
Sb06g023170,GRMZM2G413887,GRMZM2G046782
Sb02g007810,GRMZM2G177631,GRMZM2G082580
Sb03g007500,GRMZM5G853361,GRMZM2G030384
Sb03g002180,GRMZM2G051043,GRMZM2G069816
Sb03g007850,GRMZM2G130864,GRMZM2G094050
Sb02g042910,GRMZM2G177050,GRMZM2G308752
Sb02g043170,GRMZM2G017894,GRMZM2G005103
Sb06g032690,GRMZM2G039996,GRMZM2G092427
Sb03g011360,GRMZM2G161310,GRMZM2G456923
Sb01g037170,GRMZM2G385931,GRMZM2G068479
Sb03g036580,GRMZM2G062373,GRMZM2G106690
Sb01g030380,GRMZM2G057768,GRMZM2G009163
Sb07g026630,GRMZM2G427451,GRMZM2G154578
Sb04g024320,GRMZM2G024693,GRMZM2G416142
Sb01g034370,GRMZM2G026417,GRMZM2G030458
Sb06g031110,GRMZM2G086489,GRMZM2G104294
Sb02g007550,GRMZM2G078886,GRMZM2G482245
Sb06g019590,GRMZM2G106810,AC203841.3_FG009
Sb01g020570,GRMZM2G154090,GRMZM2G326707
Sb03g027120,GRMZM2G071977,GRMZM2G065829
Sb01g044960,GRMZM5G815358,GRMZM2G330945
Sb04g003600,GRMZM5G829894,GRMZM2G166035
Sb03g001130,GRMZM2G159307,GRMZM2G058491
Sb01g029740,GRMZM2G071172,GRMZM2G118022
Sb03g032080,GRMZM2G420334,GRMZM2G126691
Sb03g043660,GRMZM2G166548,GRMZM2G030688
Sb01g011960,GRMZM2G011588,GRMZM2G148098
Sb07g022280,GRMZM2G029527,GRMZM2G076389
Sb06g023770,GRMZM2G054795,GRMZM2G005353
Sb01g035780,GRMZM2G073755,GRMZM2G043338
Sb01g033470,GRMZM2G412430,GRMZM2G154029
Sb01g036620,GRMZM2G102365,GRMZM2G102382
Sb02g034730,GRMZM2G075794,GRMZM2G470103
Sb04g034680,GRMZM2G023711,GRMZM2G441144
Sb02g026930,GRMZM2G145101,GRMZM2G414528
Sb04g028750,GRMZM2G090419,GRMZM2G063276
Sb01g041660,GRMZM2G147603,GRMZM2G166684
Sb01g020190,GRMZM2G170699,GRMZM2G102639
Sb04g022720,GRMZM5G886785,GRMZM2G082642
Sb02g043990,GRMZM2G134295,GRMZM2G129232
Sb06g016990,GRMZM2G113629,GRMZM2G176443
Sb03g043210,GRMZM2G321810,GRMZM2G339379
Sb03g030270,GRMZM2G360021,GRMZM5G826801
Sb02g035860,GRMZM2G492220,GRMZM2G063263
Sb03g034960,GRMZM2G324705,GRMZM2G180021
Sb09g022540,AC213621.5_FG002,GRMZM2G382792
Sb02g030220,GRMZM2G013255,GRMZM2G164945
Sb01g004520,GRMZM2G062377,GRMZM2G115612
Sb06g022790,GRMZM2G122618,GRMZM5G828581
Sb07g020070,GRMZM5G844703,AC197047.3_FG001
Sb06g032630,GRMZM2G343317,GRMZM2G392116
Sb01g050140,GRMZM2G329177,GRMZM2G113163
Sb06g022610,GRMZM2G147241,GRMZM2G061499
Sb06g026560,GRMZM2G016705,GRMZM2G097848
Sb02g043200,GRMZM2G131026,GRMZM2G003331
Sb02g026590,GRMZM2G139535,GRMZM2G002131
Sb03g045980,GRMZM2G065088,GRMZM2G016657
Sb06g030660,GRMZM2G174917,GRMZM2G421033
Sb02g034200,GRMZM2G025242,GRMZM2G498656
Sb01g030520,GRMZM2G125095,GRMZM2G142999
Sb10g024820,GRMZM2G101693,GRMZM2G162605
Sb01g033720,GRMZM2G107499,GRMZM2G093096
Sb03g037610,GRMZM2G035820,GRMZM2G121783
Sb08g020050,GRMZM2G443345,AC211749.4_FG007
Sb06g027970,GRMZM2G102088,GRMZM2G156013
Sb04g023100,GRMZM2G113453,GRMZM2G054109
Sb06g023300,GRMZM2G026558,GRMZM2G465208
Sb03g001590,GRMZM2G463986,GRMZM2G369182
Sb01g002680,GRMZM2G122045,GRMZM2G100419
Sb08g019196,GRMZM2G417496,GRMZM2G410951
Sb04g031330,GRMZM2G428242,GRMZM2G178758
Sb01g005320,GRMZM2G170851,GRMZM2G099615
Sb10g025480,GRMZM2G136559,GRMZM2G701020
Sb04g022750,GRMZM2G337749,GRMZM2G064145
Sb01g007950,GRMZM2G177974,GRMZM2G129817
Sb06g018600,GRMZM2G442546,GRMZM2G159559
Sb06g023620,GRMZM2G123202,GRMZM2G001106
Sb03g032630,GRMZM2G137965,GRMZM2G316113
Sb03g046020,GRMZM2G125642,GRMZM2G319130
Sb02g041420,GRMZM2G148229,GRMZM2G153877
Sb07g020335,GRMZM5G895175,GRMZM2G132857
Sb06g027710,GRMZM2G071907,GRMZM2G091331
Sb01g046830,GRMZM5G863105,GRMZM2G362088
Sb03g044030,GRMZM2G001497,GRMZM2G180330
Sb10g030040,GRMZM2G115518,GRMZM2G173928
Sb06g032170,GRMZM2G102450,GRMZM2G179518
Sb03g038070,GRMZM5G846140,AC218972.3_FG007
Sb01g039710,GRMZM2G078164,GRMZM2G103595
Sb02g028470,GRMZM2G103713,GRMZM2G159828
Sb02g039190,GRMZM2G089736,GRMZM2G101769
Sb01g021020,GRMZM2G076597,GRMZM2G071589
Sb04g033650,GRMZM2G066885,GRMZM2G060357
Sb03g010960,GRMZM2G111731,GRMZM2G312419
Sb03g030010,GRMZM5G814314,GRMZM2G086088
Sb02g035640,GRMZM2G041381,GRMZM2G151826
Sb07g025020,GRMZM2G042407,GRMZM2G017606
Sb03g009920,GRMZM2G069009,GRMZM2G475017
Sb04g033895,GRMZM2G313027,GRMZM2G075044
Sb09g028490,GRMZM2G021794,GRMZM2G001514
Sb10g006250,GRMZM2G024530,GRMZM2G116785
Sb03g037980,GRMZM2G021881,GRMZM2G130764
Sb06g018160,GRMZM2G046402,GRMZM2G097499
Sb10g003545,GRMZM2G403151,GRMZM2G047296
Sb05g001680,GRMZM2G350326,GRMZM2G377797
Sb02g041560,GRMZM2G148133,GRMZM2G327703
Sb07g003900,GRMZM2G003715,AC196475.3_FG005
Sb09g002280,GRMZM2G130477,GRMZM2G453078
Sb02g035880,GRMZM2G019999,GRMZM2G163233
Sb07g021210,GRMZM2G079123,GRMZM2G111117
Sb04g036755,GRMZM2G354253,GRMZM2G466532
Sb04g024980,AC205703.4_FG002,GRMZM2G092459
Sb04g036200,GRMZM2G083812,GRMZM2G125823
Sb05g003230,GRMZM2G031094,GRMZM2G042897
Sb01g010450,GRMZM2G025648,GRMZM2G089974
Sb01g039400,GRMZM2G048482,GRMZM2G063875
Sb01g047050,GRMZM2G150915,AC149818.2_FG005
Sb01g018550,GRMZM2G093951,GRMZM2G105987
Sb09g028120,GRMZM2G085675,GRMZM2G153863
Sb03g032470,GRMZM2G091494,GRMZM2G089553
Sb03g031600,GRMZM2G031993,GRMZM2G085408
Sb08g001210,GRMZM2G104638,GRMZM2G091235
Sb01g042390,GRMZM2G397754,GRMZM2G425683
Sb07g020920,GRMZM2G106133,GRMZM2G004878
Sb04g036590,GRMZM2G419257,GRMZM2G130043
Sb01g029170,GRMZM2G113098,GRMZM2G101058
Sb10g001510,GRMZM5G809335,GRMZM2G103108
Sb06g031080,GRMZM2G040017,GRMZM2G143356
Sb04g031790,GRMZM2G071277,GRMZM2G044537
Sb01g028990,GRMZM2G365134,GRMZM2G069807
Sb04g032680,GRMZM2G410338,GRMZM2G406313
Sb03g009850,GRMZM2G472231,GRMZM2G146012
Sb01g018950,GRMZM2G380650,GRMZM2G477683
Sb03g009580,GRMZM5G835235,GRMZM2G024151
Sb01g035090,GRMZM2G086788,GRMZM2G170870
Sb03g028440,GRMZM2G105140,GRMZM2G149683
Sb01g003790,GRMZM2G107745,GRMZM2G358416
Sb01g002660,AC198418.3_FG005,GRMZM2G415491
Sb07g022980,GRMZM2G386463,GRMZM2G103939
Sb01g002840,GRMZM2G156848,GRMZM2G121743
Sb01g005810,GRMZM2G135011,GRMZM2G028188
Sb01g038280,GRMZM2G006370,AC206223.3_FG006
Sb06g014740,GRMZM2G022347,GRMZM2G317406
Sb01g049890,GRMZM2G007025,GRMZM2G037193
Sb03g045180,GRMZM2G396550,AC233953.1_FG005
Sb01g018730,GRMZM2G160752,GRMZM2G073109
Sb07g000565,GRMZM2G039895,GRMZM2G059266
Sb03g012530,GRMZM2G454056,GRMZM2G010016
Sb01g019390,GRMZM2G054152,GRMZM2G154447
Sb02g002200,GRMZM2G028041,GRMZM2G452178
Sb02g001880,GRMZM2G145654,GRMZM2G379575
Sb01g044620,GRMZM2G132367,AC233899.1_FG004
Sb02g028500,GRMZM2G104299,GRMZM2G159926
Sb03g044210,GRMZM2G171622,GRMZM2G133621
Sb01g038040,GRMZM2G455828,GRMZM2G030293
Sb03g004990,GRMZM2G031040,GRMZM2G048763
Sb04g033400,GRMZM2G169558,GRMZM2G180775
Sb03g029790,GRMZM2G330302,GRMZM2G132547
Sb01g019150,GRMZM2G048434,GRMZM2G462081
Sb01g029000,GRMZM2G148074,GRMZM2G076852
Sb02g022910,GRMZM2G146670,GRMZM2G150616
Sb01g007760,GRMZM5G826714,GRMZM2G071970
Sb02g036200,GRMZM2G032071,GRMZM2G415012
Sb01g003420,AC225147.4_FG003,GRMZM2G110952
Sb02g023420,GRMZM2G016551,GRMZM2G163426
Sb01g017900,GRMZM2G124207,GRMZM2G436707
Sb01g042240,GRMZM2G153611,GRMZM2G136293
Sb10g027310,GRMZM2G056849,GRMZM2G136311
Sb03g028530,AC198725.4_FG009,GRMZM2G145554
Sb01g038910,GRMZM2G043291,GRMZM2G162486
Sb02g030690,GRMZM2G143718,GRMZM2G422644
Sb10g003520,GRMZM2G455192,GRMZM2G047131
Sb03g042740,GRMZM2G137120,GRMZM2G005016
Sb06g020140,GRMZM2G045005,GRMZM2G025054
Sb01g009300,GRMZM2G089102,GRMZM5G839349
Sb03g040270,GRMZM2G177518,GRMZM2G147544
Sb10g002560,GRMZM2G115124,GRMZM2G074850
Sb04g000380,GRMZM2G002961,GRMZM2G312301
Sb03g025440,GRMZM2G093032,GRMZM2G081626
Sb01g004320,GRMZM2G013206,AC210013.4_FG002
Sb03g002960,GRMZM2G143723,GRMZM2G046290
Sb06g020170,GRMZM2G163471,GRMZM2G066815
Sb01g011510,GRMZM2G351304,AC213463.3_FG004
Sb10g028950,GRMZM2G116586,GRMZM2G161493
Sb04g036970,GRMZM2G078396,GRMZM2G102230
Sb03g040730,GRMZM2G027914,GRMZM2G143640
Sb02g006500,GRMZM2G038313,GRMZM2G151549
Sb01g009870,GRMZM2G077147,GRMZM2G455869
Sb06g023960,GRMZM2G131982,GRMZM2G098442
Sb01g043820,GRMZM2G007188,GRMZM2G081622
Sb03g031860,GRMZM2G169654,GRMZM2G065538
Sb01g012730,GRMZM2G398423,GRMZM2G066449
Sb04g032260,GRMZM2G113238,GRMZM2G073770
Sb04g030750,GRMZM2G167431,GRMZM2G147701
Sb02g030960,GRMZM2G109560,GRMZM2G017961
Sb01g043280,GRMZM2G155086,GRMZM2G113159
Sb02g031980,GRMZM2G053223,GRMZM2G048551
Sb02g020840,GRMZM2G150011,GRMZM2G134998
Sb01g044080,GRMZM2G103873,GRMZM2G040268
Sb03g026810,GRMZM2G055578,GRMZM2G028190
Sb02g020844,GRMZM2G130910,GRMZM2G033694
Sb01g028420,GRMZM5G862565,GRMZM2G099337
Sb03g007220,GRMZM2G360023,GRMZM2G444567
Sb01g048730,GRMZM2G025642,GRMZM2G172053
Sb04g030530,GRMZM2G101350,GRMZM2G176289
Sb03g000440,GRMZM5G825437,GRMZM2G067522
Sb03g002580,GRMZM2G055334,GRMZM2G097878
Sb03g043020,GRMZM2G419328,GRMZM5G817436
Sb06g018120,GRMZM2G126062,GRMZM2G132875
Sb01g004030,GRMZM2G134227,AC210013.4_FG011
Sb03g032700,GRMZM2G077293,GRMZM5G832994
Sb01g005360,GRMZM2G178341,GRMZM2G130544
Sb01g041910,GRMZM2G043470,GRMZM2G478876
Sb04g022740,GRMZM2G039841,GRMZM2G147279
Sb01g012880,GRMZM2G149238,GRMZM2G161418
Sb08g019130,GRMZM2G429139,GRMZM2G332703
Sb04g035630,GRMZM2G110558,GRMZM2G042179
Sb08g019260,GRMZM5G832908,GRMZM2G098434
Sb07g026190,GRMZM2G171111,GRMZM5G896883
Sb01g006960,GRMZM2G040030,GRMZM2G052423
Sb07g028900,AC186606.4_FG003,GRMZM2G144480
Sb02g029480,GRMZM5G843213,GRMZM2G099780
Sb07g001110,GRMZM2G057436,GRMZM2G025037
Sb06g032060,GRMZM2G070273,GRMZM2G423861
Sb09g022765,GRMZM2G134753,GRMZM2G390400
Sb02g027630,GRMZM2G464985,GRMZM2G026065
Sb04g005890,GRMZM2G018962,GRMZM2G000976
Sb06g013950,GRMZM2G155281,GRMZM2G122437
Sb01g010170,GRMZM2G127559,GRMZM2G114789
Sb03g003180,GRMZM2G371176,GRMZM2G147840
Sb09g020810,GRMZM2G018971,GRMZM2G164797
Sb06g028200,GRMZM2G345700,GRMZM2G031354
Sb04g024460,AC233938.1_FG003,GRMZM2G349745
Sb04g031020,GRMZM2G027741,GRMZM2G054354
Sb08g018440,GRMZM2G166159,GRMZM2G082203
Sb01g045110,GRMZM2G097434,GRMZM5G860976
Sb04g035120,GRMZM2G098058,GRMZM2G064537
Sb06g026530,GRMZM2G314396,GRMZM2G321239
Sb03g029490,GRMZM2G064473,GRMZM2G050003
Sb03g025860,GRMZM5G849600,GRMZM2G463133
Sb07g025230,GRMZM2G175396,GRMZM2G119468
Sb02g025340,GRMZM5G837589,GRMZM5G816517
Sb03g009105,GRMZM2G401267,GRMZM2G305080
Sb04g004270,GRMZM2G409726,GRMZM2G419891
Sb04g007700,GRMZM2G015132,GRMZM2G161969
Sb01g036630,GRMZM2G107463,GRMZM2G402341
Sb10g025360,GRMZM2G048919,GRMZM2G459052
Sb01g010390,GRMZM2G010054,GRMZM2G149406
Sb03g002150,GRMZM2G031432,GRMZM2G152354
Sb03g042235,GRMZM2G329073,GRMZM2G439238
Sb01g037720,GRMZM2G017536,GRMZM2G115825
Sb06g031880,GRMZM2G047448,GRMZM2G028622
Sb02g026920,GRMZM2G145146,GRMZM2G113257
Sb03g042230,GRMZM2G038309,GRMZM2G472991
Sb02g026690,GRMZM2G090739,GRMZM2G123972
Sb07g026995,GRMZM2G449123,GRMZM2G035118
Sb04g037500,GRMZM2G390076,GRMZM2G112240
Sb07g006320,GRMZM2G140612,GRMZM5G852329
Sb01g014650,GRMZM2G154320,GRMZM2G362627
Sb02g037650,GRMZM2G098517,GRMZM2G431309
Sb03g036770,GRMZM2G022934,GRMZM2G440003
Sb01g033480,GRMZM2G179792,GRMZM2G019029
Sb04g002650,GRMZM2G016168,GRMZM2G161450
Sb07g024840,GRMZM2G342655,GRMZM2G167563
Sb01g029480,GRMZM2G061099,GRMZM2G409265
Sb01g005000,GRMZM2G163912,GRMZM2G121176
Sb04g003700,GRMZM2G425774,GRMZM2G166162
Sb04g035540,GRMZM2G080930,GRMZM2G070239
Sb02g030210,GRMZM2G149520,GRMZM2G164956
Sb01g001010,GRMZM2G058511,GRMZM2G030858
Sb06g030920,GRMZM2G081886,GRMZM2G009323
Sb04g025840,GRMZM2G142088,GRMZM2G106308
Sb01g004840,GRMZM5G825524,GRMZM5G844195
Sb07g024070,AC234528.1_FG005,GRMZM2G014069
Sb02g026580,GRMZM2G139522,GRMZM2G002104
Sb03g045970,GRMZM2G047310,GRMZM2G180988
Sb09g021280,GRMZM2G077621,GRMZM2G097502
Sb02g034690,GRMZM2G449709,GRMZM2G479045
Sb02g042340,GRMZM2G081682,GRMZM2G005493
Sb06g032830,GRMZM2G436199,GRMZM5G892522
Sb01g037030,GRMZM2G138814,GRMZM2G064725
Sb09g020540,GRMZM2G117507,GRMZM2G435373
Sb01g033730,GRMZM2G107495,GRMZM2G128491
Sb05g004860,GRMZM2G096480,GRMZM2G174919
Sb04g005700,GRMZM2G069316,GRMZM2G104456
Sb10g006220,GRMZM2G177276,GRMZM2G116919
Sb09g027240,GRMZM2G174971,GRMZM2G054247
Sb03g039440,AC209784.3_FG011,GRMZM2G035933
Sb01g021140,GRMZM2G115998,GRMZM2G133895
Sb09g003010,GRMZM2G109175,GRMZM2G323415
Sb09g027060,GRMZM2G394827,GRMZM2G088060
Sb06g013940,GRMZM2G142863,GRMZM2G151041
Sb02g039460,GRMZM2G109843,GRMZM2G056612
Sb03g040870,GRMZM2G401009,GRMZM2G341159
Sb02g043830,GRMZM2G056733,GRMZM2G095695
Sb06g016295,GRMZM2G079323,GRMZM2G055437
Sb03g039280,GRMZM5G871592,GRMZM2G112836
Sb07g021260,GRMZM2G153184,GRMZM2G160268
Sb07g028460,GRMZM2G113911,GRMZM2G067587
Sb04g035300,GRMZM5G848185,GRMZM2G015021
Sb04g031820,GRMZM5G833032,GRMZM2G118693
Sb01g035420,GRMZM2G052206,GRMZM2G084347
Sb02g030360,GRMZM2G143400,GRMZM2G123973
Sb04g036360,GRMZM2G096690,GRMZM2G054012
Sb01g041290,GRMZM2G346861,GRMZM2G149798
Sb01g046820,GRMZM2G086163,GRMZM2G063342
Sb03g032070,GRMZM2G083850,GRMZM5G835704
Sb03g038080,GRMZM2G069274,GRMZM5G805026
Sb01g001490,GRMZM2G316148,GRMZM2G381838
Sb01g010240,GRMZM2G126019,GRMZM2G145827
Sb04g004940,GRMZM2G126827,GRMZM2G163813
Sb02g035250,GRMZM2G339907,GRMZM2G175952
Sb06g032990,GRMZM2G084327,GRMZM2G138870
Sb03g040180,GRMZM2G165192,GRMZM2G115422
Sb02g039960,GRMZM2G140288,GRMZM2G044126
Sb04g026740,GRMZM2G042173,GRMZM2G418604
Sb02g037900,GRMZM2G172726,GRMZM2G028905
Sb02g041470,GRMZM2G148213,GRMZM2G172210
Sb04g023820,GRMZM2G056505,GRMZM2G106752
Sb02g003760,GRMZM2G143330,GRMZM2G028834
Sb04g031490,GRMZM2G039725,GRMZM2G057262
Sb02g038160,GRMZM2G017016,GRMZM2G175718
Sb03g008990,GRMZM2G083150,GRMZM2G128518
Sb04g025110,GRMZM2G031496,GRMZM2G097190
Sb04g031250,GRMZM2G111146,GRMZM2G091003
Sb03g009660,GRMZM2G180071,GRMZM2G155260
Sb06g023790,GRMZM2G133854,GRMZM2G057084
Sb09g023360,GRMZM2G100639,GRMZM2G162445
Sb04g026020,GRMZM2G114127,GRMZM2G042181
Sb03g038700,GRMZM2G032763,GRMZM2G135367
Sb02g035650,GRMZM2G042047,GRMZM2G151726
Sb01g005950,GRMZM5G888196,GRMZM2G089448
Sb01g038870,GRMZM2G338037,GRMZM2G011071
Sb04g037310,GRMZM2G013981,GRMZM2G471805
Sb01g001270,GRMZM2G123843,GRMZM2G313460
Sb06g032040,GRMZM2G070389,GRMZM2G125149
Sb07g026920,GRMZM2G084149,GRMZM2G075655
Sb09g027995,GRMZM5G897673,GRMZM2G156606
Sb01g038700,GRMZM2G141386,GRMZM2G145562
Sb07g021880,GRMZM2G106574,GRMZM2G121942
Sb01g039650,GRMZM2G110309,GRMZM2G063151
Sb07g022750,GRMZM2G076723,GRMZM2G568636
Sb04g036760,GRMZM2G144146,GRMZM2G370815
Sb10g003200,GRMZM2G050971,GRMZM2G113017
Sb02g026320,GRMZM2G050407,GRMZM2G134761
Sb03g012510,GRMZM2G103755,GRMZM2G378054
Sb03g044110,GRMZM2G022159,GRMZM2G003518
Sb04g029770,GRMZM2G542272,GRMZM2G552956
Sb04g026520,GRMZM2G029048,GRMZM2G081582
Sb02g028990,GRMZM2G423567,GRMZM2G422045
Sb09g028130,AC195860.3_FG006,GRMZM2G083738
Sb02g036520,GRMZM2G434317,GRMZM2G104410
Sb02g030750,GRMZM2G074472,GRMZM2G073942
Sb04g021990,GRMZM5G864335,GRMZM2G139680
Sb06g021680,GRMZM2G097573,GRMZM2G175269
Sb04g026900,GRMZM2G393673,GRMZM2G161696
Sb04g027720,GRMZM2G335930,GRMZM2G021889
Sb04g028810,GRMZM2G375762,AC185471.3_FG005
Sb02g023980,GRMZM2G055917,GRMZM2G116196
Sb01g003250,GRMZM2G060702,GRMZM2G002825
Sb09g027280,GRMZM2G174741,GRMZM2G075839
Sb06g012030,GRMZM2G173521,GRMZM2G313756
Sb02g025750,GRMZM2G135817,GRMZM2G143029
Sb03g009860,GRMZM2G472248,GRMZM2G146004
Sb01g018940,GRMZM2G380665,GRMZM2G477688
Sb04g023940,GRMZM5G870219,GRMZM2G021256
Sb01g040250,GRMZM2G100620,GRMZM2G307906
Sb04g031200,GRMZM2G120076,GRMZM2G091069
Sb01g038290,GRMZM2G006085,AC206223.3_FG010
Sb01g002530,GRMZM2G156756,GRMZM2G138421
Sb10g027230,GRMZM2G014427,GRMZM2G022706
Sb02g026210,GRMZM5G847216,GRMZM2G501652
Sb03g043460,GRMZM2G133173,GRMZM2G166855
Sb09g020710,GRMZM2G070199,GRMZM2G010348
Sb01g038050,GRMZM2G455809,GRMZM2G308351
Sb03g033380,GRMZM2G079727,GRMZM2G001139
Sb09g028220,GRMZM2G150264,GRMZM2G103628
Sb03g028490,AC198725.4_FG004,GRMZM2G028982
Sb09g023770,GRMZM2G129064,GRMZM2G142584
Sb01g008480,GRMZM2G159285,GRMZM2G077356
Sb01g043630,GRMZM2G077127,GRMZM2G008751
Sb02g036230,GRMZM2G041645,GRMZM2G414995
Sb01g006150,GRMZM2G519210,GRMZM2G159531
Sb07g023970,GRMZM5G804575,GRMZM2G007953
Sb01g042230,GRMZM2G180023,GRMZM2G091621
Sb03g028010,GRMZM2G114399,GRMZM2G000256
Sb01g018830,GRMZM2G317021,GRMZM2G163374
Sb01g028380,GRMZM2G033876,GRMZM5G812289
Sb02g039095,GRMZM2G030578,GRMZM2G096106
Sb06g023200,GRMZM2G114149,GRMZM2G132218
Sb09g027820,GRMZM2G057369,GRMZM2G492915
Sb01g008460,GRMZM2G149775,GRMZM2G050833
Sb04g000440,GRMZM2G008047,GRMZM2G167149
Sb03g002970,GRMZM2G303044,GRMZM2G441906
Sb09g022950,GRMZM2G088409,GRMZM2G068192
Sb01g004330,GRMZM2G013342,GRMZM2G024150
Sb06g018040,GRMZM2G104843,GRMZM2G070092
Sb02g033950,GRMZM2G138220,GRMZM2G171628
Sb09g020150,GRMZM2G047607,GRMZM2G007384
